F,M,married,widowed,single,divorced,age,children,construct,education,finance,government,IT,legal,manuf,medicine,retired,secondary,tertiary,postgrad,professional,income,avbal,avtrans,decision
1.0,0.0,1.0,0.0,0.0,0.0,51.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2692.48,20954.73,2516.79,None
0.0,1.0,0.0,0.0,1.0,0.0,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2692.48,20954.73,2516.79,None
1.0,0.0,1.0,0.0,0.0,0.0,52.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,889.98,19738.64,1201.9,None
0.0,1.0,1.0,0.0,0.0,0.0,25.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2692.48,20954.73,2516.79,A
0.0,1.0,0.0,0.0,1.0,0.0,27.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4121.55,19983.49,1102.11,None
1.0,0.0,0.0,0.0,1.0,0.0,33.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3052.68,12092.85,851.02,None
1.0,0.0,0.0,0.0,1.0,0.0,27.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7361.66,28364.91,1954.94,None
1.0,0.0,1.0,0.0,0.0,0.0,30.18,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2248.96,20332.04,1651.66,None
0.0,1.0,1.0,0.0,0.0,0.0,55.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13393.43,3794.19,2492.07,None
1.0,0.0,0.0,0.0,0.0,1.0,70.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3320.92,14239.21,984.07,None
1.0,0.0,0.0,0.0,1.0,0.0,27.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11814.06,39759.75,1111.54,None
