index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
1001,M,divorced,44.27,2,legal,postgrad,10245.73,53183.04,4069.67, 
1002,M,married,61.9,1,legal,secondary,1942.57,18100.78,1522.42,
1003,M,divorced,37.3,1,IT,tertiary,9896.16,24496.82,2723.35,
1004,F,divorced,25.02,1,legal,postgrad,10136.44,26690.01,4143.04,
1005,F,divorced,48.37,2,government,secondary,2521.11,13439.81,240.26,
1006,M,widowed,49.19,3,manuf,secondary,610.07,8027.86,817.78,
1007,F,married,66.07,2,retired,tertiary,3153.71,13146.35,1716.52,
1008,F,divorced,65.81,1,retired,postgrad,3656.7,6914.14,2149.3,
1009,F,married,44.65,2,IT,tertiary,5825.72,22830.97,1196.25,
1010,F,single,23.16,0,IT,tertiary,2737.99,13859.05,776.99,
1011,M,widowed,52.58,1,manuf,secondary,3257.43,20059.75,729.58,
1012,F,married,39.61,0,legal,secondary,4836.8,19294.2,832.48,
1013,F,single,39.68,0,finance,tertiary,8361.3,20973.31,2059.34,
1014,M,single,29.73,0,finance,tertiary,3642.03,24124.66,1797.93,
1015,F,divorced,64.56,2,construct,postgrad,3642.03,24124.66,1797.93,
1016,M,married,56.16,2,manuf,tertiary,3782.55,34553.75,1520.36,
1017,F,single,40.91,0,education,tertiary,3431.36,13256.18,1246.05,
1018,F,married,39.11,1,legal,postgrad,12563.13,29157.55,5941.43,
1019,F,widowed,65.68,0,retired,tertiary,4388.41,14914.65,501.97,
1020,M,divorced,49.48,2,government,tertiary,6364.9,14776.51,1717.65,
1021,F,married,67.08,2,retired,secondary,910.38,13777.26,317.43,
1022,M,divorced,26.22,2,IT,secondary,1858.62,24750.02,1137.89,
1023,F,single,19.46,0,manuf,postgrad,4724.51,35985.78,1134.38,
1024,M,single,23.04,0,finance,tertiary,8302.74,22384.38,684.36,
1025,F,single,18.08,0,IT,professional,9217.58,43022.45,4855.55,
1026,M,divorced,46.6,0,finance,tertiary,3527.12,13777.86,1441.71,
1027,M,married,59.33,2,legal,postgrad,10497.62,44744.61,2768.2,
1028,M,single,21.74,0,government,tertiary,4081.58,28519.68,858.28,
1029,F,widowed,62.36,2,government,postgrad,2690.97,41035.5,2752.43,
1030,F,divorced,42.43,2,manuf,professional,15965.52,29414.23,1625.25,
1031,M,married,45.44,1,government,tertiary,3970.17,16069.47,526.99,
1032,F,married,27.21,1,education,secondary,1763.86,7318.26,440.05,
1033,F,divorced,60.44,1,manuf,tertiary,3496.2,7700.52,1519.41,
1034,M,divorced,49.66,3,construct,tertiary,3496.2,7700.52,1519.41,
1035,F,single,22.06,0,government,tertiary,6749.49,31665.16,1562.2,
1036,M,divorced,51.91,2,government,tertiary,3821.27,11009.15,1731.29,
1037,M,married,24.33,2,government,tertiary,3140.78,14436.48,727.73,
1038,F,single,25.84,0,construct,secondary,3140.78,14436.48,727.73,
1039,M,married,61.52,0,finance,professional,11608.79,27529.23,2803.96,
1040,F,widowed,87.86,1,retired,tertiary,4775.18,16048.79,1095.75,
1041,F,single,47.2,0,medicine,tertiary,2511.49,41205.04,3674.55,
1042,F,married,63.95,1,construct,tertiary,2511.49,41205.04,3674.55,
1043,M,married,41,2,manuf,tertiary,5882.28,33236.27,2404.76,
1044,M,widowed,53.53,1,finance,tertiary,3696.67,31597.47,2030.93,
1045,F,married,28.62,2,legal,postgrad,10001.84,40463.27,4705.42,
1046,M,married,27.25,0,finance,postgrad,10363.69,30011.8,4792.02,
1047,F,single,25.7,0,finance,secondary,2300.29,7507.26,1306.82,
1048,M,divorced,41.09,3,manuf,postgrad,10173.3,29034.73,2359.88,
1049,F,single,35.25,0,medicine,tertiary,6787.24,31607.8,1482.03,
1050,F,divorced,44.15,2,government,tertiary,2448.45,14296.98,1489.78,
1051,M,widowed,60.56,0,manuf,postgrad,5043.22,21215.78,1901.43,
1052,F,married,41.55,1,manuf,tertiary,4400.31,9098.7,2334.15,
1053,F,married,37.19,1,manuf,secondary,3794.78,13742.44,668.71,
1054,F,divorced,31.71,2,finance,postgrad,3457.01,43061.71,2874.29,
1055,F,single,28.32,0,government,tertiary,5164.04,20171.69,1512.54,
1056,F,single,20.19,0,manuf,secondary,2470.18,8221.75,701.53,
1057,M,widowed,46.97,0,finance,secondary,2856.62,17862.25,964.64,
1058,F,single,27.65,0,finance,secondary,1485.15,18302.84,1628.46,
1059,M,married,69.45,1,retired,postgrad,4274.81,11767.95,1205.94,
1060,F,married,38.89,0,finance,tertiary,2518.25,15995.85,1753.27,
1061,F,single,27.47,0,government,secondary,2546.74,8551.27,1065.88,
1062,F,married,56.39,1,IT,postgrad,8985,32613.1,3017.52,
1063,F,married,40.35,2,construct,professional,8985,32613.1,3017.52,
1064,F,married,25.01,0,legal,postgrad,6721.91,39752.21,4669.36,
1065,M,single,21.99,0,legal,tertiary,10435.02,32261,2114.47,
1066,M,married,39.5,3,finance,secondary,2115.99,20250.56,1091.68,
1067,F,single,44.25,0,government,tertiary,5512.66,21851.12,1652.55,
1068,F,single,23.85,0,education,postgrad,5178.71,27171.49,2113.25,
1069,M,single,29.45,0,education,secondary,1722.45,9766.38,477.09,
1070,F,widowed,64.53,0,medicine,tertiary,9757.62,30369.69,2339.17,
1071,F,single,42.28,0,legal,secondary,823.39,23554.03,1887.19,
1072,M,married,56.34,3,education,secondary,717.99,10665.95,558.68,
1073,M,single,27.47,0,manuf,secondary,2682,8870.39,812.8,
1074,M,divorced,41.05,1,IT,tertiary,6022.3,15732.71,2076.71,
1075,F,single,19.57,0,construct,secondary,6022.3,15732.71,2076.71,
1076,M,married,64.85,1,manuf,postgrad,7025.19,26392.47,1773.81,
1077,M,widowed,63.22,0,construct,tertiary,7025.19,26392.47,1773.81,
1078,F,married,46.7,3,education,tertiary,4128.59,19146.88,1025.45,
1079,M,married,38.76,2,education,tertiary,3714.42,2344.76,1352.63,
1080,F,married,33.04,1,manuf,secondary,4060.18,15765.31,1352.39,
1081,F,widowed,40.48,3,construct,secondary,4060.18,15765.31,1352.39,
1082,F,single,28.13,0,finance,tertiary,5609.16,17401.46,1975.51,
1083,M,married,61.49,4,education,tertiary,2071.24,26933.42,923.83,
1084,M,widowed,71.15,1,retired,secondary,1489.85,15936.9,1194.88,
1085,F,divorced,52.3,1,manuf,postgrad,10423.65,30491.69,1317.09,
1086,M,divorced,68.15,2,retired,tertiary,2086.97,18038.5,436.78,
1087,F,single,33.29,0,IT,professional,6303.07,29884.66,3935.87,
1088,M,divorced,44.64,1,government,tertiary,5800.79,5527.98,1259.48,
1089,F,married,39.78,2,government,tertiary,6469.34,9863.62,1720.34,
1090,M,single,28,0,education,postgrad,6174.21,12218.26,2193.1,
1091,F,married,39.45,2,IT,tertiary,3325.09,18041.64,3299.85,
1092,F,single,20.26,0,finance,tertiary,6102.69,22341.07,1224.25,
1093,M,divorced,39.74,1,finance,secondary,3447.74,12460.92,2164.6,
1094,F,divorced,36.77,1,IT,tertiary,7298.83,14531.16,2065.24,
1095,F,married,43.38,2,legal,tertiary,5042.59,30002.48,2546.88,
1096,M,married,58.63,1,IT,postgrad,7369.69,30000.99,4744.91,
1097,F,single,42.63,0,legal,secondary,3685.51,16319.85,1959.2,
1098,M,married,65.23,2,retired,secondary,815.31,2514.72,1070.61,
1099,M,married,34.24,1,government,secondary,671.45,14609.19,316.64,
1100,F,single,44.1,0,construct,postgrad,671.45,14609.19,316.64,
1101,F,single,27.26,0,IT,tertiary,6454.63,17717.58,2407.97,
1102,M,single,20.53,0,finance,secondary,1646.91,11257.29,1848.59,
1103,F,single,22.7,0,legal,secondary,2724.04,28989.35,1066.84,
1104,M,single,34.89,0,government,professional,10055.03,23369.83,4177.47,
1105,F,married,29.66,3,IT,secondary,1639.9,15851.45,625.75,
1106,M,married,54.78,2,education,tertiary,4002.82,5509.27,1000.95,
1107,M,single,27.75,0,manuf,tertiary,5281.66,20313.6,1220,
1108,F,divorced,27.51,1,finance,tertiary,3206.99,21876.65,1170.31,
1109,F,married,39.96,1,manuf,postgrad,7876.55,5999.7,2884.98,
1110,M,divorced,44.91,0,legal,secondary,2649.62,19996.59,1812.93,
1111,M,married,40,0,IT,tertiary,4711.92,28707.77,2012.75,
1112,F,married,32.47,0,education,postgrad,8229.94,25423.41,1979.44,
1113,M,married,43.7,1,IT,postgrad,9692.92,16321.04,3074.77,
1114,F,divorced,48.11,1,government,secondary,2806.84,9524.92,1193.19,
1115,M,married,52.21,1,government,tertiary,5524.66,19966.96,2016.36,
1116,M,divorced,51.17,2,IT,postgrad,4502.67,35408.59,2029.54,
1117,M,divorced,36.63,0,manuf,tertiary,6890.94,16934.71,601.91,
1118,F,widowed,78.71,0,retired,postgrad,4632.83,13983.99,825.03,
1119,M,single,31.77,0,IT,tertiary,6921.72,24737.1,1014.91,
1120,M,single,40.33,0,government,tertiary,6934.11,20624.17,1888.15,
1121,F,married,69.84,0,retired,professional,5072.84,13190.52,1493.2,
1122,F,married,59.77,1,legal,tertiary,5956.76,47396.75,3322.03,
