 sex, mstatus, age, children, occupation, education, income, avbal, avtrans,status,score,status_multiplier,expected_profit,actual_status,actual_score,actual_status_multiplier,is_status_diff,actual_profit,absolute_score_diff
M,single,27.96,0,medicine,professional,17303.09,65582.38,6015.57,B,5.13,1.0,5.13,B,6.6,1,False,6.6,1.4699999999999998
M,single,26.89,0,legal,professional,9634.85,58058.66,7533.45,B,5.13,1.0,5.13,None,6.5,0,True,0.0,1.37
M,single,19.26,0,medicine,professional,16160.29,60151.32,5292.73,B,5.06,1.0,5.06,None,5.7,0,True,0.0,0.6400000000000006
F,divorced,29.16,1,legal,professional,19955.57,55623.28,5995.69,B,5.05,1.0,5.05,None,6.4,0,True,0.0,1.3500000000000005
F,single,21.58,0,legal,professional,10527.1,66347.12,6285.3,B,5.05,1.0,5.05,B,6.1,1,False,6.1,1.0499999999999998
F,divorced,27.61,2,legal,professional,15404.15,62600.26,5574.53,B,5.02,1.0,5.02,None,6.3,0,True,0.0,1.2800000000000002
F,single,20.09,0,finance,professional,17330.87,57395.38,5935.67,B,5.02,1.0,5.02,B,5.9,1,False,5.9,0.8800000000000008
F,divorced,28.84,2,medicine,professional,5022.14,73963.48,5497.28,B,5.01,1.0,5.01,B,6.3,1,False,6.3,1.29
F,single,28.12,0,finance,professional,7786.1,46625.55,6883.28,B,4.96,1.0,4.96,None,6.0,0,True,0.0,1.04
M,divorced,29.55,3,finance,professional,14156.64,59093.96,3939.75,B,4.95,1.0,4.95,None,5.8,0,True,0.0,0.8499999999999996
F,single,26.26,0,finance,professional,10861.4,41657.38,7895.15,B,4.94,1.0,4.94,None,6.1,0,True,0.0,1.1599999999999993
M,single,27.98,0,IT,professional,5763.43,37244.3,6423.73,B,4.91,1.0,4.91,None,5.5,0,True,0.0,0.5899999999999999
M,single,28.19,0,IT,professional,11698.78,42661.91,4939.44,B,4.91,1.0,4.91,None,5.4,0,True,0.0,0.4900000000000002
M,single,28.11,0,IT,postgrad,12075.34,45772.38,4422.93,B,4.9,1.0,4.9,None,5.3,0,True,0.0,0.39999999999999947
M,single,27.75,0,finance,postgrad,9498.67,47118.65,4224.75,B,4.89,1.0,4.89,None,5.2,0,True,0.0,0.3100000000000005
M,single,29.22,0,IT,professional,8934.01,37954.77,5176.78,B,4.88,1.0,4.88,None,5.3,0,True,0.0,0.41999999999999993
F,single,27.25,0,IT,professional,7316.0,41103.46,5453.44,B,4.85,1.0,4.85,None,5.3,0,True,0.0,0.4500000000000002
F,single,25.8,0,legal,postgrad,9361.1,49646.51,4441.16,B,4.85,1.0,4.85,B,5.2,1,False,5.2,0.35000000000000053
M,single,22.21,0,IT,professional,11357.49,29943.47,7606.39,B,4.85,1.0,4.85,None,5.5,0,True,0.0,0.6500000000000004
M,single,20.47,0,finance,professional,11735.69,30733.38,6564.56,B,4.84,1.0,4.84,None,5.1,0,True,0.0,0.2599999999999998
M,single,27.58,0,medicine,postgrad,10187.79,43593.55,4030.05,B,4.84,1.0,4.84,B,5.0,1,False,5.0,0.16000000000000014
M,single,28.74,0,medicine,professional,5219.47,30049.17,7245.99,B,4.83,1.0,4.83,None,5.5,0,True,0.0,0.6699999999999999
F,single,25.19,0,medicine,professional,17535.84,66717.9,3256.15,B,4.82,1.0,4.82,None,5.6,0,True,0.0,0.7799999999999994
M,single,25.53,0,IT,professional,5464.72,32883.72,5782.49,B,4.82,1.0,4.82,None,5.0,0,True,0.0,0.17999999999999972
F,single,18.08,0,IT,professional,9217.58,43022.45,4855.55,B,4.82,1.0,4.82,None,4.7,0,True,0.0,0.1200000000000001
F,single,27.28,0,IT,professional,10594.21,38196.33,5128.79,B,4.81,1.0,4.81,None,5.2,0,True,0.0,0.39000000000000057
F,single,21.64,0,finance,professional,11864.95,31729.83,7521.69,B,4.81,1.0,4.81,None,5.5,0,True,0.0,0.6900000000000004
M,single,21.23,0,medicine,postgrad,16268.73,47899.27,3520.61,B,4.81,1.0,4.81,None,4.9,0,True,0.0,0.09000000000000075
F,single,28.15,0,finance,professional,16715.28,32308.21,6451.08,B,4.81,1.0,4.81,B,5.7,1,False,5.7,0.8900000000000006
M,single,20.45,0,legal,postgrad,10175.69,44571.74,3717.04,B,4.8,1.0,4.8,None,4.6,0,True,0.0,0.20000000000000018
F,single,26.35,0,finance,postgrad,8693.24,41444.32,4680.47,B,4.8,1.0,4.8,None,5.1,0,True,0.0,0.2999999999999998
M,single,29.47,0,finance,postgrad,14815.28,34041.93,4683.19,B,4.8,1.0,4.8,B,5.3,1,False,5.3,0.5
F,single,25.39,0,IT,professional,12073.98,32495.43,6656.35,B,4.8,1.0,4.8,None,5.5,0,True,0.0,0.7000000000000002
F,single,29.06,0,finance,professional,7072.41,41712.48,4213.24,B,4.76,1.0,4.76,B,5.0,1,False,5.0,0.2400000000000002
F,single,18.17,0,finance,professional,10842.49,35884.89,4905.22,B,4.75,1.0,4.75,None,4.6,0,True,0.0,0.15000000000000036
F,single,29.15,0,legal,postgrad,7805.09,37321.12,4500.11,B,4.75,1.0,4.75,None,5.0,0,True,0.0,0.25
F,single,25.57,0,medicine,postgrad,11726.04,39953.6,4089.96,B,4.74,1.0,4.74,None,4.9,0,True,0.0,0.16000000000000014
F,single,29.69,0,manuf,professional,10179.77,49843.13,6998.97,B,4.73,1.0,4.73,None,6.3,0,True,0.0,1.5699999999999994
F,single,25.09,0,IT,postgrad,7426.6,38999.46,4284.35,B,4.73,1.0,4.73,B,4.8,1,False,4.8,0.0699999999999994
M,single,28.81,0,finance,postgrad,9030.58,46404.2,2999.95,B,4.73,1.0,4.73,None,4.8,0,True,0.0,0.0699999999999994
M,single,18.94,0,finance,postgrad,14493.35,47213.53,3019.39,B,4.73,1.0,4.73,None,4.5,0,True,0.0,0.23000000000000043
M,single,26.57,0,education,professional,9135.73,29647.39,4777.72,B,4.73,1.0,4.73,None,4.8,0,True,0.0,0.0699999999999994
M,single,25.13,0,IT,postgrad,11625.64,37950.89,3567.96,B,4.72,1.0,4.72,None,4.7,0,True,0.0,0.019999999999999574
M,single,21.36,0,finance,postgrad,4318.04,36794.89,4094.79,B,4.72,1.0,4.72,None,4.3,0,True,0.0,0.41999999999999993
F,single,27.25,0,construct,postgrad,11968.81,52477.87,6196.94,B,4.72,1.0,4.72,B,6.0,1,False,6.0,1.2800000000000002
F,single,28.66,0,legal,postgrad,7898.39,51846.35,3142.68,B,4.72,1.0,4.72,B,5.0,1,False,5.0,0.28000000000000025
M,single,27.98,0,finance,professional,12632.41,26823.4,5254.02,B,4.72,1.0,4.72,None,5.0,0,True,0.0,0.28000000000000025
F,single,23.44,0,medicine,postgrad,5993.73,41388.89,4084.5,B,4.72,1.0,4.72,None,4.6,0,True,0.0,0.1200000000000001
M,single,28.0,0,manuf,professional,10510.36,52521.33,4878.41,B,4.71,1.0,4.71,None,5.6,0,True,0.0,0.8899999999999997
F,single,27.23,0,IT,professional,17612.99,25696.02,5892.24,B,4.69,1.0,4.69,B,5.4,1,False,5.4,0.71
F,single,25.79,0,finance,professional,11930.36,30749.22,4935.78,B,4.69,1.0,4.69,None,4.9,0,True,0.0,0.20999999999999996
F,single,20.01,0,medicine,postgrad,15626.77,39999.99,3577.56,B,4.68,1.0,4.68,None,4.6,0,True,0.0,0.08000000000000007
M,single,21.46,0,finance,postgrad,9237.55,35883.97,3498.85,B,4.68,1.0,4.68,B,4.3,1,False,4.3,0.3799999999999999
F,single,27.99,0,finance,postgrad,11155.46,29975.25,4825.61,B,4.68,1.0,4.68,None,5.0,0,True,0.0,0.3200000000000003
M,single,21.06,0,medicine,tertiary,7165.96,37678.71,3872.52,B,4.67,1.0,4.67,None,4.4,0,True,0.0,0.2699999999999996
M,single,27.99,0,finance,postgrad,5864.35,35106.13,3571.0,B,4.67,1.0,4.67,B,4.5,1,False,4.5,0.16999999999999993
F,single,28.0,0,finance,postgrad,4363.55,41109.89,3703.29,B,4.67,1.0,4.67,None,4.7,0,True,0.0,0.03000000000000025
F,single,24.79,0,finance,postgrad,9463.58,30957.66,4476.42,B,4.65,1.0,4.65,None,4.6,0,True,0.0,0.05000000000000071
F,single,20.53,0,IT,postgrad,8854.37,29699.34,4821.16,B,4.65,1.0,4.65,None,4.4,0,True,0.0,0.25
M,single,25.93,0,legal,postgrad,8506.56,40154.09,2864.2,B,4.64,1.0,4.64,None,4.4,0,True,0.0,0.23999999999999932
F,single,28.26,0,finance,postgrad,8919.94,34520.51,3820.87,B,4.64,1.0,4.64,None,4.7,0,True,0.0,0.0600000000000005
M,single,23.74,0,legal,tertiary,10296.07,34451.29,3842.95,B,4.64,1.0,4.64,None,4.5,0,True,0.0,0.13999999999999968
F,single,23.55,0,education,professional,3896.48,50251.73,2916.19,B,4.63,1.0,4.63,None,4.5,0,True,0.0,0.1299999999999999
M,single,28.0,0,government,professional,14077.43,32550.68,5618.05,B,4.63,1.0,4.63,None,5.4,0,True,0.0,0.7700000000000005
M,divorced,26.99,1,finance,postgrad,11344.0,43173.66,2605.7,B,4.63,1.0,4.63,None,4.6,0,True,0.0,0.03000000000000025
F,single,28.22,0,finance,postgrad,7856.06,46329.71,2790.83,B,4.62,1.0,4.62,B,4.7,1,False,4.7,0.08000000000000007
F,single,23.55,0,government,professional,6685.62,51926.89,4187.46,B,4.62,1.0,4.62,B,5.0,1,False,5.0,0.3799999999999999
M,single,26.13,0,finance,postgrad,8962.1,36331.29,2976.0,B,4.61,1.0,4.61,None,4.4,0,True,0.0,0.20999999999999996
F,single,24.28,0,education,professional,5218.82,55185.81,2521.92,B,4.61,1.0,4.61,B,4.6,1,False,4.6,0.010000000000000675
F,single,20.34,0,IT,postgrad,9447.91,44678.77,2778.65,B,4.6,1.0,4.6,None,4.3,0,True,0.0,0.2999999999999998
M,divorced,25.53,1,legal,postgrad,8719.26,38009.91,2794.64,B,4.6,1.0,4.6,None,4.3,0,True,0.0,0.2999999999999998
F,single,26.97,0,education,postgrad,5973.57,46769.52,2757.94,B,4.6,1.0,4.6,None,4.6,0,True,0.0,0.0
M,divorced,28.96,1,medicine,tertiary,6957.45,36603.04,3244.2,B,4.59,1.0,4.59,B,4.5,1,False,4.5,0.08999999999999986
M,single,22.61,0,medicine,tertiary,11429.69,30280.45,3849.9,B,4.58,1.0,4.58,None,4.4,0,True,0.0,0.17999999999999972
M,single,18.28,0,medicine,tertiary,8710.19,33500.23,3552.52,B,4.58,1.0,4.58,B,4.0,1,False,4.0,0.5800000000000001
M,single,27.88,0,education,postgrad,7067.2,38337.98,2642.39,B,4.58,1.0,4.58,None,4.4,0,True,0.0,0.17999999999999972
M,single,24.87,0,finance,professional,12151.92,20392.75,5003.86,B,4.58,1.0,4.58,None,4.6,0,True,0.0,0.019999999999999574
M,single,19.22,0,medicine,tertiary,2862.61,43079.22,2965.02,B,4.56,1.0,4.56,None,4.0,0,True,0.0,0.5599999999999996
M,single,19.35,0,IT,postgrad,9226.03,32797.4,2999.93,B,4.56,1.0,4.56,None,3.9,0,True,0.0,0.6599999999999997
F,single,27.6,0,legal,tertiary,6849.62,43322.52,3039.13,B,4.56,1.0,4.56,None,4.6,0,True,0.0,0.040000000000000036
F,single,23.32,0,IT,professional,5682.04,30409.79,3812.72,B,4.55,1.0,4.55,None,4.2,0,True,0.0,0.34999999999999964
F,divorced,25.02,1,legal,postgrad,10136.44,26690.01,4143.04,B,4.55,1.0,4.55,None,4.4,0,True,0.0,0.14999999999999947
F,single,18.95,0,legal,tertiary,8973.63,34812.69,3683.32,B,4.55,1.0,4.55,None,4.2,0,True,0.0,0.34999999999999964
F,single,25.3,0,legal,postgrad,7470.73,22845.25,4926.92,B,4.54,1.0,4.54,B,4.5,1,False,4.5,0.040000000000000036
F,single,21.89,0,IT,postgrad,9034.71,35757.55,3029.71,B,4.54,1.0,4.54,None,4.2,0,True,0.0,0.33999999999999986
F,single,29.18,0,education,professional,7552.17,35448.42,2976.65,B,4.54,1.0,4.54,None,4.5,0,True,0.0,0.040000000000000036
F,single,28.16,0,finance,professional,9378.53,16793.72,7824.0,B,4.53,1.0,4.53,None,5.4,0,True,0.0,0.8700000000000001
M,single,28.58,0,finance,tertiary,6921.74,37284.14,2823.17,B,4.53,1.0,4.53,B,4.4,1,False,4.4,0.1299999999999999
M,single,28.07,0,finance,postgrad,6796.25,30299.3,2946.27,B,4.52,1.0,4.52,None,4.2,0,True,0.0,0.3199999999999994
F,single,27.96,0,finance,postgrad,12046.91,33531.69,2988.97,B,4.52,1.0,4.52,None,4.5,0,True,0.0,0.019999999999999574
F,single,26.65,0,finance,postgrad,9017.27,31691.01,3251.98,B,4.52,1.0,4.52,None,4.4,0,True,0.0,0.11999999999999922
F,divorced,26.86,3,government,professional,12079.58,41877.14,3804.19,B,4.52,1.0,4.52,None,5.0,0,True,0.0,0.4800000000000004
M,single,27.52,0,finance,postgrad,12681.79,37182.94,2302.94,B,4.52,1.0,4.52,B,4.4,1,False,4.4,0.11999999999999922
F,single,29.18,0,medicine,tertiary,4147.48,36850.87,3413.34,B,4.52,1.0,4.52,B,4.5,1,False,4.5,0.019999999999999574
M,single,28.01,0,IT,postgrad,8941.37,26194.45,3302.81,B,4.51,1.0,4.51,B,4.3,1,False,4.3,0.20999999999999996
F,single,26.92,0,finance,professional,11355.79,25407.62,3903.2,B,4.51,1.0,4.51,None,4.5,0,True,0.0,0.009999999999999787
M,single,23.96,0,manuf,professional,9996.98,35205.13,4554.82,B,4.51,1.0,4.51,None,4.8,0,True,0.0,0.29000000000000004
F,single,25.98,0,medicine,tertiary,5536.23,30103.3,4020.6,B,4.51,1.0,4.51,None,4.4,0,True,0.0,0.10999999999999943
M,single,18.05,0,legal,tertiary,7146.27,42008.8,2515.25,B,4.51,1.0,4.51,B,3.9,1,False,3.9,0.6099999999999999
M,divorced,29.47,2,finance,postgrad,4533.53,32878.35,2658.22,B,4.5,1.0,4.5,B,4.2,1,False,4.2,0.2999999999999998
M,divorced,27.43,1,legal,tertiary,8152.68,38831.16,2533.63,B,4.5,1.0,4.5,None,4.4,0,True,0.0,0.09999999999999964
F,single,19.04,0,IT,postgrad,11751.98,33191.0,2940.55,B,4.49,1.0,4.49,None,4.0,0,True,0.0,0.4900000000000002
F,single,26.53,0,finance,postgrad,9136.49,29980.17,3149.81,B,4.49,1.0,4.49,None,4.3,0,True,0.0,0.1900000000000004
F,single,24.15,0,government,professional,9682.75,28834.05,5565.15,B,4.49,1.0,4.49,B,4.9,1,False,4.9,0.41000000000000014
F,single,22.79,0,medicine,tertiary,5604.65,47311.22,2492.98,B,4.48,1.0,4.48,None,4.3,0,True,0.0,0.1800000000000006
F,single,22.51,0,legal,tertiary,11833.53,38616.71,2825.67,B,4.48,1.0,4.48,None,4.3,0,True,0.0,0.1800000000000006
F,single,27.35,0,finance,tertiary,9672.19,36804.97,2944.84,B,4.48,1.0,4.48,B,4.5,1,False,4.5,0.019999999999999574
M,single,25.94,0,finance,tertiary,6026.97,30327.34,3206.06,B,4.48,1.0,4.48,None,4.2,0,True,0.0,0.28000000000000025
