index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,status,score,status_multiplier,expected_profit
2185,M,divorced,29.55,3,finance,professional,14156.64,59093.96,3939.75,B,4.95,1.0,4.95
2581,F,single,25.8,0,legal,postgrad,9361.1,49646.51,4441.16,B,4.85,1.0,4.85
4940,F,divorced,35.41,1,legal,postgrad,15464.26,39735.99,4274.09,B,4.8,1.0,4.8
3323,F,divorced,32.51,1,legal,postgrad,10877.84,44642.34,4038.38,B,4.8,1.0,4.8
3668,M,single,20.45,0,legal,postgrad,10175.69,44571.74,3717.04,B,4.8,1.0,4.8
3785,M,divorced,37.69,1,legal,postgrad,12132.63,28972.05,4017.93,B,4.71,1.0,4.71
3513,M,single,28.0,0,manuf,professional,10510.36,52521.33,4878.41,B,4.71,1.0,4.71
1956,F,single,20.01,0,medicine,postgrad,15626.77,39999.99,3577.56,B,4.68,1.0,4.68
4717,M,single,25.93,0,legal,postgrad,8506.56,40154.09,2864.2,B,4.64,1.0,4.64
4758,M,divorced,25.53,1,legal,postgrad,8719.26,38009.91,2794.64,B,4.6,1.0,4.6
1757,M,single,22.61,0,medicine,tertiary,11429.69,30280.45,3849.9,B,4.58,1.0,4.58
4998,M,single,18.28,0,medicine,tertiary,8710.19,33500.23,3552.52,B,4.58,1.0,4.58
4548,F,single,27.6,0,legal,tertiary,6849.62,43322.52,3039.13,B,4.56,1.0,4.56
4991,F,single,18.95,0,legal,tertiary,8973.63,34812.69,3683.32,B,4.55,1.0,4.55
1004,F,divorced,25.02,1,legal,postgrad,10136.44,26690.01,4143.04,B,4.55,1.0,4.55
1761,F,single,25.3,0,legal,postgrad,7470.73,22845.25,4926.92,B,4.54,1.0,4.54
4267,F,divorced,26.86,3,government,professional,12079.58,41877.14,3804.19,B,4.52,1.0,4.52
2398,M,single,18.05,0,legal,tertiary,7146.27,42008.8,2515.25,B,4.51,1.0,4.51
1409,M,single,23.96,0,manuf,professional,9996.98,35205.13,4554.82,B,4.51,1.0,4.51
2918,M,divorced,27.43,1,legal,tertiary,8152.68,38831.16,2533.63,B,4.5,1.0,4.5
2176,F,single,22.51,0,legal,tertiary,11833.53,38616.71,2825.67,B,4.48,1.0,4.48
4883,M,single,27.4,0,manuf,professional,13059.35,29420.64,4498.92,B,4.44,1.0,4.44
