index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,status,score,status_multiplier,expected_profit
3346,M,single,26.89,0,legal,professional,9634.85,58058.66,7533.45,B,5.13,1.0,5.13
2185,M,divorced,29.55,3,finance,professional,14156.64,59093.96,3939.75,B,4.95,1.0,4.95
2951,M,single,27.75,0,finance,postgrad,9498.67,47118.65,4224.75,B,4.89,1.0,4.89
1247,M,single,27.58,0,medicine,postgrad,10187.79,43593.55,4030.05,B,4.84,1.0,4.84
4642,F,single,27.28,0,IT,professional,10594.21,38196.33,5128.79,B,4.81,1.0,4.81
3668,M,single,20.45,0,legal,postgrad,10175.69,44571.74,3717.04,B,4.8,1.0,4.8
2394,F,single,26.35,0,finance,postgrad,8693.24,41444.32,4680.47,B,4.8,1.0,4.8
3205,M,single,26.57,0,education,professional,9135.73,29647.39,4777.72,B,4.73,1.0,4.73
2465,F,single,27.25,0,construct,postgrad,11968.81,52477.87,6196.94,B,4.72,1.0,4.72
2020,F,single,20.53,0,IT,postgrad,8854.37,29699.34,4821.16,B,4.65,1.0,4.65
4498,M,divorced,26.99,1,finance,postgrad,11344.0,43173.66,2605.7,B,4.63,1.0,4.63
3084,F,single,24.28,0,education,professional,5218.82,55185.81,2521.92,B,4.61,1.0,4.61
4275,F,single,26.97,0,education,postgrad,5973.57,46769.52,2757.94,B,4.6,1.0,4.6
2902,F,single,20.34,0,IT,postgrad,9447.91,44678.77,2778.65,B,4.6,1.0,4.6
1761,F,single,25.3,0,legal,postgrad,7470.73,22845.25,4926.92,B,4.54,1.0,4.54
2883,F,single,26.65,0,finance,postgrad,9017.27,31691.01,3251.98,B,4.52,1.0,4.52
2199,M,single,27.52,0,finance,postgrad,12681.79,37182.94,2302.94,B,4.52,1.0,4.52
4267,F,divorced,26.86,3,government,professional,12079.58,41877.14,3804.19,B,4.52,1.0,4.52
3738,M,single,28.01,0,IT,postgrad,8941.37,26194.45,3302.81,B,4.51,1.0,4.51
2398,M,single,18.05,0,legal,tertiary,7146.27,42008.8,2515.25,B,4.51,1.0,4.51
2918,M,divorced,27.43,1,legal,tertiary,8152.68,38831.16,2533.63,B,4.5,1.0,4.5
2484,F,single,26.53,0,finance,postgrad,9136.49,29980.17,3149.81,B,4.49,1.0,4.49
1916,F,single,24.15,0,government,professional,9682.75,28834.05,5565.15,B,4.49,1.0,4.49
3137,F,single,22.79,0,medicine,tertiary,5604.65,47311.22,2492.98,B,4.48,1.0,4.48
2567,F,single,27.35,0,finance,tertiary,9672.19,36804.97,2944.84,B,4.48,1.0,4.48
2176,F,single,22.51,0,legal,tertiary,11833.53,38616.71,2825.67,B,4.48,1.0,4.48
3339,F,single,26.76,0,manuf,professional,8655.32,28706.6,5948.3,B,4.45,1.0,4.45
4168,M,single,23.94,0,manuf,professional,5210.01,25637.5,6130.17,B,4.44,1.0,4.44
4350,M,single,18.08,0,finance,postgrad,5897.78,29939.58,2598.58,B,4.43,1.0,4.43
2624,M,single,25.21,0,medicine,tertiary,11536.24,44581.29,1880.48,B,4.43,1.0,4.43
2486,M,single,26.64,0,medicine,tertiary,7883.39,40924.4,2070.51,B,4.43,1.0,4.43
4135,M,single,24.12,0,IT,postgrad,8481.29,29973.75,2415.78,B,4.42,1.0,4.42
3243,F,divorced,27.72,2,manuf,postgrad,8164.99,37036.28,3839.36,B,4.4,1.0,4.4
4905,M,single,24.01,0,medicine,tertiary,8342.05,36571.76,2171.43,B,4.4,1.0,4.4
1378,M,single,27.99,0,IT,postgrad,8246.85,16293.02,3837.06,B,4.37,1.0,4.37
2206,F,single,26.61,0,finance,postgrad,8160.49,17256.59,4169.39,B,4.36,1.0,4.36
