,index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision,predict_score
0,1,F,married,56.82,1,legal,secondary,3105.39,33003.48,1776.81,None,4.953338453835045
1,2,M,widowed,87.35,3,retired,tertiary,4874.08,18941.99,863.56,None,3.9830550900443464
2,3,M,single,28.75,0,manuf,professional,14232.37,30013.32,3231.14,B,5.504585743022438
3,4,F,married,35.71,0,education,postgrad,3214.93,15423.24,1996.09,None,4.908515688269425
4,5,M,single,20.53,0,construct,tertiary,3214.93,15423.24,1996.09,None,4.895234255435607
5,6,F,married,60.39,0,manuf,secondary,2478.11,11436.23,463.68,None,3.971145568851825
6,7,F,married,23.07,2,legal,professional,19715.69,60259.76,5624.25,None,5.862339582129733
7,8,F,married,31.88,1,education,secondary,3356.69,7424.35,145.25,None,3.5959461291386896
8,9,M,married,62.71,3,construct,tertiary,3356.69,7424.35,145.25,None,3.779209424562297
9,10,M,divorced,43.52,2,IT,secondary,673.86,10977.69,200.38,None,4.089030136578954
10,11,F,married,66.15,0,retired,tertiary,2350.12,15075.0,1687.73,None,4.179695347158285
11,12,M,married,26.41,1,education,tertiary,3983.86,13557.57,984.02,None,4.551069286912592
12,13,M,married,22.81,0,finance,postgrad,5167.35,19008.33,1141.05,None,4.839609393291922
13,14,M,divorced,47.2,3,finance,tertiary,5358.23,23972.95,1988.45,None,5.289297934873225
14,15,M,single,21.38,0,medicine,secondary,1790.78,20102.4,2204.08,None,4.957541512359315
15,16,F,married,40.0,1,manuf,tertiary,7167.15,15068.04,1748.94,None,4.853335115988058
16,17,F,single,34.09,0,construct,postgrad,7167.15,15068.04,1748.94,None,4.928153652086532
17,18,M,single,25.39,0,government,tertiary,4943.25,5899.82,1577.68,None,4.434952583035515
18,19,F,single,41.74,0,medicine,secondary,2869.25,15317.34,980.39,None,4.598551233756735
19,20,M,divorced,51.85,0,manuf,postgrad,10274.65,26727.86,2259.59,None,5.384334968670397
20,21,M,married,28.38,4,IT,tertiary,5657.13,17438.08,1994.03,A,4.997828939903149
21,22,F,married,25.74,0,finance,professional,13094.17,51277.41,3747.48,None,5.4852076962413765
22,23,F,single,28.03,0,manuf,postgrad,9986.75,44775.16,2662.94,None,5.418794975638734
23,24,M,single,27.43,0,education,tertiary,4121.55,19983.49,1102.11,None,4.778105700657387
24,25,F,married,39.95,2,legal,tertiary,3302.41,24920.76,1165.51,A,4.85918905748173
25,26,F,divorced,30.81,3,finance,tertiary,8656.88,15072.42,2290.34,None,4.9431857761251905
26,27,M,divorced,45.17,1,finance,postgrad,5378.92,21331.51,2838.42,None,5.5369580857099905
27,28,M,married,39.13,2,finance,secondary,1262.29,21288.97,1963.87,None,5.0415305360192635
28,29,F,single,44.43,0,medicine,tertiary,7058.44,41237.96,3912.06,None,5.654598855479821
29,30,F,single,23.84,0,manuf,secondary,3853.06,11865.44,712.75,None,4.211246686935898
30,31,M,widowed,70.83,1,retired,postgrad,2604.68,13671.58,1026.93,None,4.118063719345967
31,32,M,married,61.49,4,manuf,secondary,1376.26,12145.47,1235.43,A,4.475742084939536
32,33,M,single,20.91,0,medicine,postgrad,10622.85,25455.03,3927.36,None,5.437737706057433
33,34,F,married,35.31,2,manuf,secondary,1584.06,16853.17,1028.19,None,4.460211792489169
34,35,M,married,39.97,3,medicine,postgrad,9675.09,54522.38,3774.26,A,5.807230420098389
35,36,M,married,23.43,1,finance,tertiary,3791.18,31456.42,1342.56,None,5.016968128765507
36,37,M,divorced,57.12,3,construct,tertiary,3791.18,31456.42,1342.56,None,5.043937800758004
37,38,F,divorced,44.77,1,construct,postgrad,3791.18,31456.42,1342.56,None,5.293560878813989
38,39,M,single,28.0,0,legal,tertiary,9956.44,30937.8,3866.72,None,5.447235191794876
39,40,M,single,26.9,0,manuf,tertiary,5000.87,25165.38,2360.42,B,5.210097702710031
40,41,M,single,24.13,0,manuf,tertiary,7797.77,1850.62,1311.82,None,4.089539626605934
41,42,F,married,41.94,2,finance,postgrad,3561.05,28721.1,3967.53,None,5.497789604081428
42,43,F,single,34.23,0,government,tertiary,5011.08,39541.94,1501.54,None,5.100695294059308
43,44,F,single,25.93,0,IT,secondary,1662.21,12033.74,1286.34,None,4.422925519573505
44,45,M,single,25.83,0,legal,tertiary,7226.4,29092.73,2682.05,None,5.31760610204581
45,46,M,divorced,32.6,3,IT,secondary,1045.43,22064.53,1101.11,None,4.717711580648006
46,47,F,divorced,44.25,2,IT,secondary,1645.65,9154.42,1364.2,None,4.572687450912722
47,48,M,married,44.65,1,government,tertiary,5194.72,13796.11,1628.31,A,5.038030863206615
48,49,F,divorced,28.66,1,legal,tertiary,6612.07,28284.88,3669.22,B,5.325981716046492
49,50,M,widowed,56.51,1,IT,tertiary,8917.89,11595.8,1444.51,None,4.707120348678147
50,51,M,married,29.83,2,construct,professional,8917.89,11595.8,1444.51,None,4.773134687627929
51,52,F,married,39.76,1,manuf,tertiary,5295.78,21398.78,1260.13,None,4.846369071665361
52,53,F,single,23.23,0,medicine,tertiary,8664.08,22064.65,2269.68,B,5.077473988902649
53,54,M,married,36.46,2,finance,tertiary,5566.4,10965.36,3491.51,None,5.053035060226231
54,55,F,divorced,65.3,1,retired,postgrad,3328.51,10105.98,1445.43,None,4.0912629465881825
55,56,F,single,40.12,0,education,secondary,2763.0,16595.83,294.69,None,4.22104421691855
56,57,M,married,58.89,2,manuf,tertiary,2210.32,7543.98,1293.92,A,4.400827835586495
57,58,F,divorced,57.84,0,government,secondary,2500.88,5691.44,1278.66,None,4.168856856015533
58,59,F,married,40.83,0,finance,postgrad,8250.71,29394.42,2933.97,None,5.4397258781955955
59,60,F,divorced,44.99,3,IT,tertiary,7370.43,21856.57,2041.91,None,5.268579245636492
60,61,M,married,31.11,1,finance,professional,9968.58,40680.7,4708.21,None,5.624195625264461
61,62,F,single,22.84,0,finance,secondary,2161.05,13856.56,1200.11,None,4.4595101728882005
62,63,M,divorced,57.07,2,manuf,tertiary,4996.54,15985.3,2328.75,None,5.03218588776377
63,64,F,divorced,27.59,1,manuf,secondary,869.36,6742.84,912.21,None,4.0315648087003835
64,65,M,married,33.18,1,medicine,secondary,2284.61,16098.74,1196.33,A,4.648130577216598
65,66,F,married,40.52,1,manuf,tertiary,2513.18,4514.59,2096.18,A,4.444496165075444
66,67,M,married,48.22,2,medicine,tertiary,6157.58,19623.35,3155.41,None,5.359993537687521
67,68,M,divorced,36.8,2,manuf,postgrad,5187.16,23739.22,3320.07,None,5.468220452095377
68,69,F,single,23.39,0,finance,professional,12847.93,33671.32,4842.15,None,5.498825921238386
69,70,M,widowed,58.15,1,government,tertiary,6009.9,21335.52,744.47,None,4.674384066309255
70,71,M,married,59.57,1,IT,tertiary,5889.16,12906.45,2054.14,None,4.875793384497187
71,72,F,single,31.35,0,medicine,tertiary,6908.85,18864.89,3231.41,None,5.163667263261081
72,73,F,married,42.03,1,legal,tertiary,2357.66,21720.73,1768.79,None,5.023537574880101
73,74,M,married,39.98,1,education,postgrad,7843.23,25455.76,2704.42,None,5.493770434609578
74,75,F,widowed,60.49,2,finance,postgrad,9080.6,28877.91,3018.18,None,5.3539287899472905
75,76,F,divorced,43.33,2,government,tertiary,4958.71,28646.42,1789.41,None,5.273285493554573
76,77,M,divorced,27.47,3,manuf,postgrad,8361.6,45263.75,3473.89,B,5.5690179865742095
77,78,M,divorced,62.99,1,finance,secondary,802.8,18040.08,2061.85,None,4.854198719436617
78,79,F,married,39.32,1,medicine,tertiary,7230.79,38445.33,2721.86,None,5.35043939647195
79,80,M,divorced,29.71,1,finance,tertiary,9646.94,32848.65,1905.73,B,5.24046264425196
80,81,M,married,39.39,0,government,tertiary,5554.4,19919.86,1018.94,A,4.87162258837016
81,82,F,married,39.88,0,manuf,secondary,3154.09,16423.29,748.04,None,4.413463929768455
82,83,M,married,38.37,0,finance,postgrad,9390.76,13989.95,3580.26,None,5.288853224378581
83,84,M,married,39.79,1,IT,secondary,579.42,16311.43,814.35,None,4.541518728224747
84,85,M,married,65.61,2,retired,professional,5351.61,37993.15,1498.5,None,4.709589441146451
85,86,F,single,22.11,0,education,tertiary,5581.19,20631.73,967.65,None,4.661339520048695
86,87,M,single,45.63,0,construct,tertiary,5581.19,20631.73,967.65,None,4.960247152800074
87,88,M,single,40.44,0,finance,secondary,1996.56,19775.39,861.81,None,4.693547377038813
88,89,M,married,31.41,0,government,secondary,2577.15,8128.83,865.83,None,4.212300178496139
89,90,F,married,39.78,1,legal,tertiary,6991.31,20261.34,2400.23,None,5.116884905063391
90,91,M,divorced,45.45,2,finance,tertiary,9046.3,29269.81,3420.82,None,5.618322013322614
91,92,F,widowed,57.16,3,government,tertiary,4963.11,19252.75,2157.89,None,5.005859235786684
92,93,F,married,66.9,0,retired,secondary,1927.01,5491.91,815.74,None,3.3996214794601967
93,94,M,divorced,56.77,2,government,professional,3680.44,24848.83,3538.4,None,5.405895512071407
